"kind","code_or_message","module","device_layer","source","catalog_generated_at"
"backend_message","Job không cần agent in (browser/không tồn tại)","agent","Desktop / Print Agent","server/modules/agent/routes.js:20","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu toBuild/key","appRelease","Backend / all clients","server/modules/appRelease/routes.js:61","2026-09-20T16:19:46.383Z"
"backend_message","Archive kind khong hop le","archive","Backend / all clients","server/services/archive.js:218","2026-09-20T16:19:46.383Z"
"backend_message","Cần đăng nhập","auth","Backend / all clients","server/services/auth.js:1098","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập tên và tên đăng nhập","auth","Backend / all clients","server/services/auth.js:971","2026-09-20T16:19:46.383Z"
"backend_message","Cần PIN Quản lý hoặc Admin (có quyền chi nhánh đích) để đổi chi nhánh.","auth","Backend / all clients","server/modules/auth/routes.js:25","2026-09-20T16:19:46.383Z"
"backend_message","Chi nhánh được yêu cầu không tồn tại hoặc đã ngừng hoạt động.","auth","Backend / all clients","server/services/auth.js:678","2026-09-20T16:19:46.383Z"
"backend_message","Còn ${inUse} nhân viên đang giữ vai trò này — đổi vai trò cho họ trước khi xóa.","auth","Backend / all clients","server/services/auth.js:601","2026-09-20T16:19:46.383Z"
"backend_message","Đăng nhập tạm khóa do nhập sai nhiều lần. Thử lại sau ~${mins} phút.","auth","Backend / all clients","server/services/auth.js:709","2026-09-20T16:19:46.383Z"
"backend_message","Không đủ quyền (${perm})","auth","Backend / all clients","server/services/auth.js:1099","2026-09-20T16:19:46.383Z"
"backend_message","Không thể xóa Admin cuối cùng","auth","Backend / all clients","server/services/auth.js:1051","2026-09-20T16:19:46.383Z"
"backend_message","Không thể xóa vai trò hệ thống.","auth","Backend / all clients","server/services/auth.js:598","2026-09-20T16:19:46.383Z"
"backend_message","Mã PIN hiện tại không đúng.","auth","Backend / all clients","server/services/auth.js:1038","2026-09-20T16:19:46.383Z"
"backend_message","Mã PIN phải đúng 4 chữ số","auth","Backend / all clients","server/services/auth.js:995","2026-09-20T16:19:46.383Z"
"backend_message","Mã vai trò không hợp lệ (chỉ a-z, 0-9, _).","auth","Backend / all clients","server/services/auth.js:586","2026-09-20T16:19:46.383Z"
"backend_message","Mã vai trò trùng vai trò hệ thống.","auth","Backend / all clients","server/services/auth.js:587","2026-09-20T16:19:46.383Z"
"backend_message","Người dùng không tồn tại","auth","Backend / all clients","server/services/auth.js:1049","2026-09-20T16:19:46.383Z"
"backend_message","Phải còn ít nhất một Admin","auth","Backend / all clients","server/services/auth.js:998","2026-09-20T16:19:46.383Z"
"backend_message","PIN mới phải gồm 4–6 chữ số.","auth","Backend / all clients","server/services/auth.js:1040","2026-09-20T16:19:46.383Z"
"backend_message","PIN mới phải khác PIN hiện tại.","auth","Backend / all clients","server/services/auth.js:1042","2026-09-20T16:19:46.383Z"
"backend_message","PIN mới quá dễ đoán (1234/0000/1111…). Hãy chọn dãy số khác.","auth","Backend / all clients","server/services/auth.js:1041","2026-09-20T16:19:46.383Z"
"backend_message","Sai tài khoản hoặc mã PIN","auth","Backend / all clients","server/services/auth.js:717","2026-09-20T16:19:46.383Z"
"backend_message","Tài khoản này chưa được cấp quyền vào chi nhánh đã chọn.","auth","Backend / all clients","server/services/auth.js:721","2026-09-20T16:19:46.383Z"
"backend_message","Tài khoản này không có quyền truy cập chi nhánh đã chọn.","auth","Backend / all clients","server/services/auth.js:690","2026-09-20T16:19:46.383Z"
"backend_message","Tên đăng nhập đã tồn tại","auth","Backend / all clients","server/services/auth.js:974","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu chi nhánh đích.","auth","Backend / all clients","server/modules/auth/routes.js:23","2026-09-20T16:19:46.383Z"
"backend_message","Vai trò Admin luôn toàn quyền, không thể chỉnh","auth","Backend / all clients","server/services/auth.js:619","2026-09-20T16:19:46.383Z"
"backend_message","Vai trò cần có tên hiển thị.","auth","Backend / all clients","server/services/auth.js:589","2026-09-20T16:19:46.383Z"
"backend_message","Vai trò không hợp lệ","auth","Backend / all clients","server/services/auth.js:973","2026-09-20T16:19:46.383Z"
"backend_message","Vai trò không tồn tại.","auth","Backend / all clients","server/services/auth.js:599","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ chấp nhận link http/https.","bookMenu","Backend / all clients","server/services/bookMenu.js:326","2026-09-20T16:19:46.383Z"
"backend_message","Không đọc được config PubHTML5","bookMenu","Backend / all clients","server/services/bookMenu.js:338","2026-09-20T16:19:46.383Z"
